Genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gbgene898	50245.1969128214	3.31186675263375	0.389953944707303	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13
gbgene18399	4715.59697275168	6.31976431032853	0.760377280729246	8.31135341690839	9.46166725609318e-17	1.23834301047748e-12
gbgene7672	57571.7366124282	-11.4661027669526	1.55120870828558	-7.39172150446807	1.44939858981717e-13	1.89697287435272e-09
gbgene2487	98.9670633142126	-24.4937528523499	3.38374758619437	-7.23864656816721	4.53184286730744e-13	5.93127594473197e-09
gbgene15915	36590.6891564501	-11.1815201107267	1.55580709995261	-7.18695788897436	6.62508327618342e-13	8.67090899186887e-09
gbgene12445	113.109140929474	7.18064633523227	1.00477732523926	7.14650515577905	8.90150478034725e-13	1.16502894565185e-08
gbgene7693	9930.18866504308	-11.734784940573	1.64716144432542	-7.12424697712552	1.04651244120568e-12	1.36967548305e-08
gbgene5076	22887.5020773859	-11.187656988585	1.5794975851035	-7.08304785907719	1.41017946094468e-12	1.8456428784844e-08
gbgene6642	1715.38392130346	-6.84534091402294	0.971098173467376	-7.0490719692955	1.8011498119238e-12	2.35734487384587e-08
gbgene11933	577.794238259101	3.50275311222783	0.497443635785919	7.04150754023372	1.90170922494037e-12	2.48895703360195e-08
gbgene9359	3488.3107711947	-11.4125812946762	1.65076054330158	-6.91352924625315	4.72742158476528e-12	6.1872493701408e-08
gbgene14984	9604.30924322949	4.22114495853477	0.610569864971823	6.91345118830843	4.73002481334445e-12	6.19065647570521e-08
gbgene15509	4531.43980328606	-11.9653229224424	1.74160416753613	-6.8702884073652	6.40722342149465e-12	8.3857740140522e-08
gbgene8521	171514.135264443	-10.4737993675925	1.55388329057042	-6.74040285467488	1.57948079541181e-11	2.06722446503498e-07
gbgene8756	625.023215810964	3.10312605950487	0.465163442337983	6.67104457716643	2.53989051889183e-11	3.32420871112563e-07
gbgene15500	9757.08763389127	-10.5842837936648	1.60050163412015	-6.61310402190457	3.76343797858895e-11	4.92558762637722e-07
gbgene17373	988.413124057892	3.30132938346866	0.499844995539093	6.60470628481159	3.98306234994468e-11	5.21303200360759e-07
gbgene15499	2485.66835885616	-10.5092419786704	1.60012286418582	-6.56777189670226	5.10736975589445e-11	6.68452553651465e-07
gbgene11357	25993.4001881401	-9.86353189479943	1.50208737816369	-6.566550014459	5.14943569117307e-11	6.73958143260731e-07
gbgene12463	2793.52349293729	-4.43204716692698	0.674954100580582	-6.56644231528429	5.15315968011982e-11	6.74445538934082e-07
gbgene15504	2678.7065454613	-10.6228086013524	1.62693263056499	-6.52934755980857	6.60568040704404e-11	8.64551451673924e-07
gbgene5757	4799.00312746997	-10.379765763652	1.6027553942912	-6.47620079809014	9.40608565830164e-11	1.23106849095852e-06
gbgene15147	1195.58991897036	-7.21609446037181	1.11664631156529	-6.46229194117561	1.03128888725174e-10	1.34975089563507e-06
gbgene1080	4544.35401282374	3.73826695209681	0.579397031523391	6.45199534810853	1.10386968441752e-10	1.44474464296564e-06
gbgene9384	31841.4483900588	-10.1812562402314	1.5818451712337	-6.4363165405695	1.22407625569808e-10	1.60207100345765e-06
gbgene17286	9275.08053488834	-10.0277717387485	1.56232701777941	-6.41848449436745	1.37637622972377e-10	1.80140120946247e-06
gbgene7683	11488.4300506305	-9.40339038462432	1.4674236639831	-6.40809509579549	1.47348998006741e-10	1.92850368591223e-06
gbgene9382	2749.07602693586	-11.0083133978489	1.7194598279551	-6.40219283921317	1.53161044291128e-10	2.00457174768228e-06
gbgene16793	1293.94658519935	-7.90343090813291	1.2416927982298	-6.36504529896628	1.95232108280741e-10	2.55519783317834e-06
gbgene15534	2424.17782811327	-11.1343382813621	1.76090715453583	-6.3230694773894	2.56417937346969e-10	3.35599796399713e-06
gbgene17833	39734.8034248527	-9.97713957127679	1.57846295407162	-6.32079425465191	2.60222304220056e-10	3.4057895176321e-06
gbgene13284	119968.8924192	-9.91861929391062	1.57126202859157	-6.3125176535968	2.74532133659572e-10	3.59307656533648e-06
gbgene8288	3174.0277726001	3.01442824114643	0.478818799204313	6.29555114827512	3.06309534237972e-10	4.00897918410658e-06
gbgene5761	4995.89374793627	-10.5038658880914	1.6687064321163	-6.29461580894738	3.08162137822842e-10	4.03322605982535e-06
gbgene7681	13332.0874457599	-11.6364468025231	1.86578948704417	-6.23674154202565	4.4677924092422e-10	5.84744670521619e-06
gbgene18912	98627.3561671172	-8.59143193779177	1.37882403068684	-6.23098506160504	4.63511309898053e-10	6.06643602394572e-06
gbgene19283	4220.45200805232	4.20052118739414	0.678285255965127	6.19285344986196	5.90846606361887e-10	7.73300038406437e-06
gbgene15749	29425.4337340135	-8.98970368581135	1.45611121103959	-6.17377547652639	6.66782132053383e-10	8.72684454431468e-06
gbgene1837	31528.8638141986	-6.20747414600773	1.00547712913683	-6.17366021178087	6.67268667671883e-10	8.73321232248961e-06
gbgene7689	1179.48348089001	5.40512293306634	0.87676473760922	6.16484981798553	7.05500663846316e-10	9.23359268842059e-06
gbgene14858	18717.9117518544	-9.64479419142599	1.56822856662888	-6.15012020356113	7.74242459527917e-10	1.01332853103014e-05
gbgene7125	185701.914354944	-9.91393110541118	1.61329071931587	-6.14516093516938	7.98824795417843e-10	1.04550189224287e-05
gbgene11967	2659.73190106027	-7.57092861329729	1.23267804273724	-6.14185403715439	8.15637918278184e-10	1.06750690744249e-05
gbgene15506	1878.30193492481	-9.3776458778713	1.53552422008435	-6.10712990079452	1.01438677860549e-09	1.32762941583887e-05
gbgene11360	40568.961247838	-9.25622169617679	1.52156752247822	-6.08334599643723	1.17699969750515e-09	1.54045720409474e-05
gbgene10081	1742.01712208312	-4.24169244765919	0.698780174773155	-6.07013850820277	1.27799978181397e-09	1.67264611443812e-05
gbgene9996	9553.31848820388	2.38443999594019	0.39527032036007	6.03242862699151	1.61513686286405e-09	2.11389112611647e-05
gbgene2941	63162.313282269	-9.15845836352185	1.52816803327464	-5.99309641616871	2.05882701561695e-09	2.69459279803946e-05
gbgene15166	96.4039201725549	-2.7889015259467	0.468278445053662	-5.95564787447586	2.59043547924014e-09	3.39036195522949e-05
gbgene15505	2824.71998914404	-10.008144020595	1.68240279706774	-5.94872050738279	2.70246638912642e-09	3.53698801008866e-05
gbgene16792	396.955063236124	-8.96676925887944	1.51058879441805	-5.93594318454737	2.92160970727337e-09	3.82380278487938e-05
gbgene4699	34433.1541487789	-9.24120380212116	1.56215194233704	-5.91568819374636	3.30490780706674e-09	4.32546333788894e-05
gbgene312	23633.8820548739	4.87607227593549	0.824467796961776	5.91420585971238	3.33480594873657e-09	4.36459402570642e-05
gbgene7690	10522.5836109393	-9.87684299724521	1.68602602156941	-5.85806083114393	4.6830312631157e-09	6.12915131716583e-05
gbgene11488	1456.2947680305	-9.16346009269332	1.57443268564741	-5.82016632163939	5.87890971637151e-09	7.69431703678703e-05
gbgene19926	2432.13753625042	-10.4252367378445	1.79210719782928	-5.81730643706595	5.98034494170416e-09	7.8270754597024e-05
gbgene16058	1106.56613239433	-6.02959815043115	1.04198436247432	-5.78664936593974	7.18042404818408e-09	9.39773899426332e-05
gbgene6061	3023.14912105891	-8.66206167896658	1.5041619342289	-5.75872948374215	8.47493927861255e-09	0.000110920005278481
gbgene17382	6746.57002100841	-7.43223937760914	1.2908294636539	-5.75772368611032	8.52557564534765e-09	0.00011158273404631
gbgene7151	19.4352996666982	-3.89690122989416	0.679744422896135	-5.73289180261448	9.87326204086303e-09	0.000129221253590815
gbgene2781	99.1237898138534	4.99658767896322	0.878401145228552	5.68827546059626	1.28328703705202e-08	0.000167956607409368
gbgene7679	878.292076757758	-8.84338963090326	1.57161204620175	-5.62695459879928	1.83418978110966e-08	0.000240058758551632
gbgene14859	20037.6581542434	-8.7322079793119	1.55340316406939	-5.62134041006875	1.89481488954886e-08	0.000247993372744155
gbgene2001	6807.29899489881	-8.19537873072004	1.45986480293204	-5.61379294456595	1.9793905092919e-08	0.000259062629856124
gbgene7675	33628.5173307454	-9.24361401191198	1.64786147734077	-5.60946058817324	2.0295820925931e-08	0.000265631704278585
gbgene7682	695.72802895626	-10.8228165205276	1.93650986981356	-5.58882590232786	2.28610005074572e-08	0.0002992047746416
gbgene15700	1435.24222042501	-6.49840581343836	1.17488821391719	-5.53108435037584	3.18257228888099e-08	0.000416535061168744
gbgene5758	2831.65871655483	-8.81333341890638	1.59921148027747	-5.51104936876592	3.56700647810854e-08	0.000466849807854845
gbgene13820	3880.97482028006	-8.05050212951354	1.46685503137959	-5.48827386298832	4.05880450347706e-08	0.000531216333415077
gbgene9598	445.147281383253	2.54053639202026	0.463505017910927	5.48114107474124	4.2259133285272e-08	0.00055308753643764
gbgene7691	1257.17863472788	-10.8370024512942	1.97897536068569	-5.47606739658412	4.34882111322426e-08	0.000569173707298791
gbgene15836	1020.61278605065	-7.91082472043667	1.45094426640607	-5.45219062068556	4.9753081610663e-08	0.000651168332120357
gbgene7120	11434.3089864572	-8.17748638774824	1.50017062205009	-5.45103754703124	5.00767951981283e-08	0.000655405095553104
gbgene15698	2102.07494542336	-5.92821255917947	1.08768430725301	-5.45030623283644	5.0283161138352e-08	0.000658106012978751
gbgene13460	6952.73103609132	-7.54435110468413	1.39418981266707	-5.41127975268435	6.25759248127753e-08	0.000818993703949603
gbgene14860	21008.601707095	-9.06511141104046	1.67701039645909	-5.40551891042591	6.46210321891743e-08	0.000845760069291913
gbgene5882	205.505238050326	5.68380804334722	1.05988085055294	5.36268585320887	8.1993534096674e-08	0.00107313137425727
gbgene5396	16.105861373747	2.78946548151643	0.526246264789431	5.30068461888767	1.1536923456962e-07	0.00150995254204719
gbgene5691	1008.44178272867	-7.94001614723809	1.5012502060224	-5.28893592512826	1.23029976549518e-07	0.00161021633308009
gbgene7680	1173.780963874	-8.85821126305405	1.69792370044835	-5.21708440768861	1.81761444469957e-07	0.0023788937852228
gbgene1300	440.610161482865	-8.9445757530394	1.72931554221388	-5.17232138074033	2.31203476824116e-07	0.00302599110467403
gbgene2760	25.1581716770221	-8.15571359878027	1.58021797106905	-5.16113203880524	2.45460968646475e-07	0.00321259315764507
gbgene6727	1449.33637570322	-8.04022422352715	1.56353002446027	-5.14235358307405	2.71317873575564e-07	0.00355100832935699
gbgene4711	7070.60798573771	-7.85284923055833	1.53301572018527	-5.12248447759511	3.01535925730651e-07	0.00394650219596276
gbgene2067	915.678754494827	-7.99949190705034	1.5620881792974	-5.12102454462484	3.03880086211799e-07	0.00397718256834003
gbgene9480	1457.18792941672	-8.01286488388823	1.56533292740629	-5.11895248837914	3.07237342236592e-07	0.00402112233519251
gbgene4712	785.915686713268	-7.72766505538588	1.51856657120742	-5.08878912647311	3.60357049369454e-07	0.00471635306214741
gbgene2840	440.973625660176	-6.89668799220301	1.35723521097041	-5.08142430763488	3.74615284945386e-07	0.00490296484936522
gbgene4691	290.763863045396	-7.9964845854196	1.57989609230218	-5.06139905300188	4.16191081477223e-07	0.0054471088743739
gbgene11592	1300.42561097184	2.46532684098624	0.491539267070989	5.01552369493645	5.28892056225181e-07	0.00692213923187517
gbgene11962	11638.0330684713	-6.90022092165077	1.37607392021294	-5.01442605683783	5.31920032811018e-07	0.0069617693894306
gbgene14914	36.3208027850273	3.31930744756075	0.664298074189496	4.9967139399141	5.8315473610232e-07	0.00763232918610716
gbgene6556	276.711535354305	-5.16256519972265	1.03417323708109	-4.99197331222163	5.9765514791209e-07	0.00782211057587344
gbgene883	135.664167005473	3.49006049426616	0.700456765004215	4.98254948575614	6.2751935341275e-07	0.00821297329746608
gbgene10127	71.0704236906563	-4.65644797327078	0.938925260806127	-4.95933826433951	7.07337088998651e-07	0.00925762782081435
gbgene13992	15832.3698906476	-7.10999853532629	1.43769171465552	-4.94542638233809	7.59773796556539e-07	0.00994391944933198
gbgene7742	3882.99879036269	-6.71328728252727	1.36398937081579	-4.92180322381259	8.57504117935155e-07	0.0112230138955353
gbgene11964	8205.19660045899	-6.30331448461539	1.28200534997908	-4.91676145089275	8.79876610849617e-07	0.0115158250827998
gbgene15503	7090.62000222231	-6.92922739959396	1.41033515587894	-4.91317781501062	8.9611935417981e-07	0.0117284101075054
gbgene7728	182.173920822501	-1.14632971486667	0.233719675266115	-4.90472063835211	9.3560401148301e-07	0.0122451853022896
gbgene12357	6281.46354659236	-5.7910240656028	1.18196351059259	-4.89949479294788	9.6083396621145e-07	0.0125753949497755
gbgene2091	4981.8066558014	2.94668818332858	0.60217465008632	4.89341121036261	9.91030356774717e-07	0.0129706053094675
gbgene5939	801.018889614952	-8.48688558506506	1.73510469493673	-4.89128155196106	1.0018153815267e-06	0.0131117597134215
gbgene2297	2533.13000686236	-7.58214313261761	1.55391628210246	-4.87937684928491	1.06421549130115e-06	0.0139284523501494
gbgene18911	433.870782273247	-6.70471191597134	1.37457060892087	-4.87767734335233	1.07342324769728e-06	0.0140489634658619
gbgene17606	1875.10110409013	-6.36192800235291	1.30606535396278	-4.87106405743782	1.10998842912056e-06	0.0145275285603299
gbgene12162	58.8471080947715	-2.44386101177639	0.50293451580856	-4.85920320630099	1.1785911783519e-06	0.0154254013422697
gbgene7284	3194.1796634557	-2.32435714509093	0.480703041865701	-4.83532855558736	1.32925897749227e-06	0.0173973414974189
gbgene19249	92.7649977315547	2.26086653499922	0.467686110380971	4.83415368730439	1.33713257975235e-06	0.0175003912037988
gbgene7692	188.094359349231	-9.61499905096072	2.00147673278757	-4.80395244843509	1.55563789148858e-06	0.0203601887238026
gbgene11356	2608.83892599405	-6.00427705873408	1.25060218060196	-4.80110873934666	1.5778955422568e-06	0.020651496857057
gbgene9485	4334.72438053262	-7.45963857044433	1.55404041238848	-4.80015739035978	1.5854098342749e-06	0.0207498439109898
gbgene11966	3413.18597266311	-6.36474496183275	1.3309392020875	-4.7821455344091	1.73434037161421e-06	0.0226990467836867
gbgene4708	6749.03673506879	-7.06741575974788	1.48153602406519	-4.7703300121961	1.83924341824271e-06	0.0240720178579606
gbgene12988	4572.99175236606	-7.31347232447263	1.54286303248781	-4.74019544863934	2.13512158667999e-06	0.0279444713264677
gbgene12541	18.9385822228805	3.38249756333476	0.713924897698955	4.73788990163651	2.15955078768625e-06	0.0282642007092377
gbgene405	6315.24022104365	-5.52258671451434	1.16712131702663	-4.73180177068802	2.22535677767429e-06	0.0291254695062011
gbgene13858	2572.96004878001	-6.96898938263819	1.47282879820042	-4.73170363802857	2.22643309177949e-06	0.02913955630521
gbgene9513	77.604260626713	6.6379184616741	1.40738983298119	4.71647464413851	2.399662571357e-06	0.0314067837339204
gbgene13650	1992.34585498651	-6.15679258807258	1.30620666397623	-4.71349041301831	2.43509186895313e-06	0.0318704823808585
gbgene11961	6760.78257741045	-6.98685643630796	1.49050858940569	-4.68756536256784	2.76474413428889e-06	0.036184971229573
gbgene5844	104.587687837803	2.6898106533868	0.575333191282238	4.67522245221426	2.93635154082795e-06	0.0384309689663562
gbgene5075	100.734660586506	5.06463110117982	1.08416882580012	4.67144136656216	2.99093480014444e-06	0.0391453546642905
gbgene12989	343.310525323458	-6.5880918712677	1.41203714994938	-4.66566468984465	3.07620994148223e-06	0.0402614357141195
gbgene5518	27.0785114970092	5.13840773354565	1.10210392936548	4.66236222976177	3.12600349507938e-06	0.0409131337435989
gbgene6050	21965.3733829641	2.46742996017835	0.532045844567208	4.63762659810918	3.52432745136435e-06	0.0461263976834566
gbgene15502	2729.71626324004	-7.27727900792536	1.58631728023083	-4.58753056441925	4.48519779300703e-06	0.058702268714876
gbgene3468	2322.02143299991	-7.27954738106078	1.58965121667506	-4.57933621205713	4.66453888798751e-06	0.0610494849659805
gbgene10082	1359.7748673783	-5.65494460686856	1.23608143705022	-4.5748964731349	4.76455528641647e-06	0.0623584995886188
gbgene1878	304.543154803588	-5.06609639357374	1.10752607902782	-4.57424569001638	4.77938733705885e-06	0.0625526214674262
gbgene13457	1135.85117839103	-6.6396251664125	1.45379102813892	-4.56711111700301	4.94491912745504e-06	0.0647191015401316
gbgene4157	250.054095616442	5.32824770145418	1.17340791785848	4.54083155598476	5.60327862814311e-06	0.073335710685137
gbgene16650	42760.9324291214	-4.25979870575413	0.938974599886445	-4.53664956034944	5.71549614675826e-06	0.0748044135687721
gbgene2616	48.8722470134591	-9.11325428095567	2.01561608731025	-4.52132444185683	6.1453914590628e-06	0.080430883416214
gbgene9817	294.04236222269	4.06648320115934	0.902498460436349	4.50580624724084	6.61214001911434e-06	0.0865396885701685
gbgene18235	1191.83350670807	-5.10593399081354	1.13643417620989	-4.49294301218773	7.02455871855935e-06	0.0919374245085048
gbgene6280	1835.83219967983	-4.83670884004239	1.07669408620799	-4.49218482946887	7.04961998551161e-06	0.0922654263703759
gbgene16228	22.6335415687564	-3.36040566417479	0.751375843501528	-4.47233657195416	7.73695256099577e-06	0.101261235118313
gbgene3507	742.63675275746	-5.43157253403127	1.21502367297689	-4.47034296930491	7.80942642909368e-06	0.102209773103978
gbgene5700	130.421989060239	-6.12867264073373	1.37124035351512	-4.4694371960562	7.84256821488714e-06	0.102643532796443
gbgene13004	7122.29801771209	-6.04311764596751	1.35285525495773	-4.46693585571823	7.93479083682072e-06	0.10385054247231
gbgene10254	4626.03441562749	-7.28793334570042	1.63173297788376	-4.46637620522468	7.95556621608981e-06	0.104122450636183
gbgene17210	137.709456101371	-5.51650762425075	1.23787942291755	-4.45641758164858	8.33406205025568e-06	0.109076204113746
gbgene11633	22.6779794882606	-2.54812180784348	0.572288491879854	-4.45251275186996	8.48711981644716e-06	0.11107942415766
gbgene8171	2097.80548946413	1.69911860453896	0.38214009656054	4.44632379546642	8.73522535057511e-06	0.114326629388327
gbgene3431	1777.3773238074	-5.54430822690389	1.24775285891485	-4.44343460108415	8.8534075963031e-06	0.115873398620415
gbgene7432	15.7435303556136	2.7810070220639	0.626739670777918	4.43726024014417	9.11111161533908e-06	0.119246228821558
gbgene854	15097.925946755	-4.50083301130703	1.01452735562779	-4.4363840820457	9.14825611236814e-06	0.119732375998674
gbgene13363	85.3605054354021	-6.85148537267326	1.54909456144921	-4.42289679608941	9.73862678209053e-06	0.127459147324001
gbgene7698	1520.4652275744	-4.40806632047283	0.996733758628022	-4.42251130988121	9.75602406235003e-06	0.127686842928037
